id_partido;nombre_partido;partido_torneo;IdLiga;torneo;temporada;descripcion_partido;EquipoLocal;EquipoVisitante;GolLocal;fecha_torneo;GolVisitante;espectadores;fecha_hora_partido;fecha_partido;hora_partido;fecha_hora_partido;Id_EquipoLocal;Id_EquipoVisitante;estadio;pais;ciudad;poster_partido;imagen_partido;partido_fanart;partido_thumb;partido_banner;partido_video;estado_partido;partido_pospuesto
508829;Everton vs West Ham;English Premier League 2016-10-29 Everton vs West Ham;4328;English Premier League;2016-2017;;Everton;West Ham;2;10;0;0;;30/10/2016;13:30:00+00:00;;133615;133636;;;;;;;;;;;no
508825;Stoke vs Swansea;English Premier League 2016-10-29 Stoke vs Swansea;4328;English Premier League;2016-2017;;Stoke;Swansea;3;10;1;0;;31/10/2016;20:00:00+00:00;;133609;133614;;;;;;;;;;;no
508834;Man City vs Middlesbrough;English Premier League 2016-11-05 Manchester City vs Middlesbrough;4328;English Premier League;2016-2017;;Manchester City;Middlesbrough;1;11;1;0;;5/11/2016;15:00:00+00:00;;133613;133628;;;;;;;;;;;no
508835;Bournemouth vs Sunderland;English Premier League 2016-11-05 Bournemouth vs Sunderland;4328;English Premier League;2016-2017;;Bournemouth;Sunderland;1;11;2;0;;5/11/2016;15:00:00+00:00;;134301;133603;;;;;;;;;;;no
508837;Burnley vs Crystal Palace;English Premier League 2016-11-05 Burnley vs Crystal Palace;4328;English Premier League;2016-2017;;Burnley;Crystal Palace;3;11;2;0;;5/11/2016;15:00:00+00:00;;133623;133632;;;;;;;;;;;no
508838;West Ham vs Stoke;English Premier League 2016-11-05 West Ham vs Stoke;4328;English Premier League;2016-2017;;West Ham;Stoke;1;11;1;0;;5/11/2016;15:00:00+00:00;;133636;133609;;;;;;;;;;;no
508839;Chelsea vs Everton;English Premier League 2016-11-05 Chelsea vs Everton;4328;English Premier League;2016-2017;;Chelsea;Everton;5;11;0;0;;5/11/2016;17:30:00+00:00;;133610;133615;;;;;;;;;;;no
508831;Leicester vs West Brom;English Premier League 2016-11-05 Leicester vs West Brom;4328;English Premier League;2016-2017;;Leicester;West Brom;1;11;2;0;;6/11/2016;16:30:00+00:00;;133626;133611;;;;;;;;;;;no
508832;Liverpool vs Watford;English Premier League 2016-11-05 Liverpool vs Watford;4328;English Premier League;2016-2017;;Liverpool;Watford;6;11;1;0;;6/11/2016;14:15:00+00:00;;133602;133624;;;;;;;;;;;no
508833;Arsenal vs Tottenham;English Premier League 2016-11-05 Arsenal vs Tottenham;4328;English Premier League;2016-2017;;Arsenal;Tottenham;1;11;1;0;;6/11/2016;12:00:00+00:00;;133604;133616;;;;;;;;;;;no
508836;Swansea vs Man United;English Premier League 2016-11-05 Swansea vs Manchester United;4328;English Premier League;2016-2017;;Swansea;Manchester United;1;11;3;0;;6/11/2016;15:00:00+00:00;;133614;133612;;;;;;;;;;;no
508840;Hull vs Southampton;English Premier League 2016-11-05 Hull vs Southampton;4328;English Premier League;2016-2017;;Hull;Southampton;2;11;1;0;;6/11/2016;14:15:00+00:00;;133617;134778;;;;;;;;;;;no
508841;Watford vs Leicester;English Premier League 2016-11-19 Watford vs Leicester;4328;English Premier League;2016-2017;;Watford;Leicester;2;12;1;0;;19/11/2016;15:00:00+00:00;;133624;133626;;;;;;;;;;;no
508842;Man United vs Arsenal;English Premier League 2016-11-19 Manchester United vs Arsenal;4328;English Premier League;2016-2017;;Manchester United;Arsenal;1;12;1;0;;19/11/2016;12:30:00+00:00;;133612;133604;;;;;;;;;;;no
508845;Southampton vs Liverpool;English Premier League 2016-11-19 Southampton vs Liverpool;4328;English Premier League;2016-2017;;Southampton;Liverpool;0;12;0;0;;19/11/2016;15:00:00+00:00;;134778;133602;;;;;;;;;;;no
508846;Stoke vs Bournemouth;English Premier League 2016-11-19 Stoke vs Bournemouth;4328;English Premier League;2016-2017;;Stoke;Bournemouth;0;12;1;0;;19/11/2016;15:00:00+00:00;;133609;134301;;;;;;;;;;;no
508847;Sunderland vs Hull;English Premier League 2016-11-19 Sunderland vs Hull;4328;English Premier League;2016-2017;;Sunderland;Hull;3;12;0;0;;19/11/2016;15:00:00+00:00;;133603;133617;;;;;;;;;;;no
